STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,LABOUR_FORCE_STATUS,Labour force status,JOB_COVERAGE,Job coverage,WORKER_STATUS,Worker status,WORK_TIME_ARNGMNT,Working time arrangement,METHODOLOGY,Methodology,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2006,,8.148734177,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2005,,7.884151247,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,1993,,6.525911708,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,1992,,5.776173285,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,1991,,5.555555556,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,1990,,4.79876161,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,1989,,4.949729312,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2004,,11.06094808,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2003,,7.957342084,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_FTPT@DF_FTPT_COMMON_INC(1.0),Incidence of full-time and part-time employment based on OECD-harmonized definition,I,FIN,Finland,EMP,Employment,PT_POP_SUB,Percentage of population in the same subgroup,M,Male,_T,Total,EMP,Employment,MAIN,Main job,_T,Total,PT,Part-time,OECD_DEF,OECD harmonized definition,A,Annual,2002,,7.547169811,,A,Normal value,0,Units,1,One
