ref_area,indicator,source,sex,time,obs_value,obs_status,note_source,note_indicator
AFG,EMP_NIFL_SEX_NB,BA:15715,SEX_T,2021,6654.953,,R1:3513_S3:8,
AFG,EMP_NIFL_SEX_NB,BA:15715,SEX_M,2021,4872.838,,R1:3513_S3:8,
AFG,EMP_NIFL_SEX_NB,BA:15715,SEX_F,2021,1782.115,,R1:3513_S3:8,
AGO,EMP_NIFL_SEX_NB,BA:13951,SEX_T,2021,10025.893,,R1:3513,
AGO,EMP_NIFL_SEX_NB,BA:13951,SEX_M,2021,4619.717,,R1:3513,
AGO,EMP_NIFL_SEX_NB,BA:13951,SEX_F,2021,5406.176,,R1:3513,
AGO,EMP_NIFL_SEX_NB,BA:13951,SEX_T,2019,9007.622,B,R1:3513,I11:264
AGO,EMP_NIFL_SEX_NB,BA:13951,SEX_M,2019,4133.53,B,R1:3513,I11:264
AGO,EMP_NIFL_SEX_NB,BA:13951,SEX_F,2019,4874.092,B,R1:3513,I11:264
AGO,EMP_NIFL_SEX_NB,BB:13366,SEX_T,2011,5725.372,,R1:3513,
AGO,EMP_NIFL_SEX_NB,BB:13366,SEX_M,2011,2594.858,,R1:3513,
AGO,EMP_NIFL_SEX_NB,BB:13366,SEX_F,2011,3130.515,,R1:3513,
AGO,EMP_NIFL_SEX_NB,BB:13366,SEX_T,2004,3539.647,B,R1:3513,I11:264
AGO,EMP_NIFL_SEX_NB,BB:13366,SEX_M,2004,1675.717,B,R1:3513,I11:264
AGO,EMP_NIFL_SEX_NB,BB:13366,SEX_F,2004,1863.93,B,R1:3513,I11:264
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2023,6705.943,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2023,3767.795,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2023,2938.148,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2022,6594.725,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2022,3724.838,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2022,2869.887,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2021,6015.837,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2021,3428.236,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2021,2587.601,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2020,5138.094,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2020,2926.522,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2020,2211.573,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2019,6010.653,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2019,3403.334,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2019,2607.319,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2018,5723.169,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2018,3214.653,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2018,2508.516,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2017,5617.875,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2017,3259.14,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2017,2358.735,,R1:3513_S4:33,
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2014,5214.288,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2014,3060.038,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2014,2154.25,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2013,5226.746,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2013,3089.1,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2013,2137.646,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2012,5222.914,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2012,3039.626,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2012,2183.288,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2011,5176.483,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2011,3003.839,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2011,2172.645,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2010,5151.98,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2010,2966.431,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2010,2185.55,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2009,5215.475,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2009,2986.913,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_F,2009,2228.562,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_T,2008,5213.276,,R1:3513_S4:33,I13:3888
ARG,EMP_NIFL_SEX_NB,BA:150,SEX_M,2008,2981.072,,R1:3513_S4:33,I13:3888
